Player,School,Year,Pick,Pos,G,MP,FGA,FG%,2P%,3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,NBA-PPG
Chris Gatling,Old Dominion,1991,15,PF,85,31.3,13.5,0.606,0.607,0,0.689,21.3,1.04,0.63,0.606,0.001,0.526,,5.7
Victor Alexander,Iowa State,1991,16,C,111,26.6,11.5,0.611,0.611,0,0.635,17,9.97,0.62,0.611,0.001,0.415,,7.4
Kevin Brooks,Louisiana,1991,17,SF,116,37.4,14.6,0.522,0.552,0.409,0.774,19.8,-1.72,0.595,0.565,0.212,0.291,,2.8
LaBradford Smith,Louisville,1991,18,SG,133,31.4,9.3,0.481,0.546,0.339,0.866,13.6,8.3,0.602,0.534,0.314,0.461,,5.1
John Turner,Georgetown,1991,19,SF,32,21.3,4.9,0.468,0.468,0,0.552,6.6,10.37,0.497,0.468,0,0.744,,2.8
Eric Murdock,Providence,1991,20,PG,117,31.2,13.5,0.435,0.47,0.354,0.784,17.3,7.26,0.541,0.489,0.302,0.386,,4.1
LeRon Ellis,Syracuse,1991,21,C,124,24.2,7.6,0.497,0.502,0.286,0.615,9.5,8.36,0.524,0.5,0.022,0.401,,1.5
Stanley Roberts,LSU,1991,22,C,32,26.8,11.2,0.56,0.562,0,0.459,14.1,7.61,0.55,0.56,0.003,0.311,,10.4
Rick Fox,UNC,1991,23,SF,140,22.7,8.7,0.518,0.58,0.388,0.757,12.2,11.25,0.609,0.581,0.323,0.307,,8
Mark Randall,Kansas,1991,25,PF,132,23.5,7.9,0.62,0.623,0.167,0.651,12.3,8.99,0.633,0.621,0.006,0.503,,3.2
Pete Chilcutt,UNC,1991,26,PF,140,22.7,6.5,0.534,0.547,0.345,0.71,8.2,11.25,0.567,0.545,0.064,0.256,,3.6
Shaquille O'Neal,LSU,1992,1,C,90,30.5,14.3,0.61,0.61,0,0.575,21.6,8.4,0.609,0.61,0,0.498,,23.4
Alonzo Mourning,Georgetown,1992,2,C,120,30.3,9,0.566,0.572,0.261,0.754,16.7,9.99,0.638,0.568,0.021,0.945,,21
Christian Laettner,Duke,1992,3,PF,148,27.4,9.8,0.574,0.586,0.485,0.806,16.6,9.45,0.657,0.602,0.112,0.61,,18.2
Jim Jackson,Ohio State,1992,4,SF,93,34,14.7,0.503,0.527,0.376,0.784,19.2,9.19,0.57,0.533,0.16,0.309,,16.3
LaPhonso Ellis,Notre Dame,1992,5,PF,97,33.2,10.5,0.577,0.581,0.455,0.675,15.5,8.55,0.607,0.585,0.032,0.46,,14.7
Tom Gugliotta,NC State,1992,6,PF,112,29.3,10.6,0.476,0.516,0.408,0.668,13.7,9.16,0.571,0.553,0.378,0.287,,14.7
