Player,School,Year,Pick,Pos,G,MP,FGA,FG%,2P%,3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,NBA-PPG
John Wallace,Syracuse,1996,15,SF,127,33,11.6,0.533,0.544,0.39,0.738,16.7,9.07,0.589,0.547,0.071,0.47,4.5,4.8
Walter McCarty,Kentucky,1996,16,PF,103,20.5,6.6,0.515,0.557,0.401,0.684,9.2,9.71,0.591,0.569,0.273,0.357,2.6,1.8
Dontae' Jones,Mississippi State,1996,17,SF,33,30.5,12.7,0.474,0.516,0.296,0.744,14.7,8.72,0.527,0.502,0.194,0.206,1.7,2.9
Roy Rogers,Alabama,1996,18,PF,102,20.4,5.2,0.517,0.519,0,0.61,6.4,6.65,0.533,0.517,0.004,0.307,1.7,6.6
Derek Fisher,Little Rock,1996,19,PG,112,32.6,9.3,0.414,0.429,0.38,0.747,12.4,-2.35,0.536,0.474,0.315,0.511,2.1,3.9
Jerome Williams,Georgetown,1996,20,PF,68,28.8,7.4,0.544,0.558,0.167,0.634,10.5,8.12,0.571,0.547,0.036,0.528,2.4,1.5
Brian Evans,Indiana,1996,21,SF,124,29.1,10.2,0.449,0.473,0.408,0.8,13.7,10.77,0.572,0.523,0.361,0.377,3.7,1.4
Travis Knight,UConn,1996,22,C,124,18.5,5,0.518,0.522,0,0.622,6.1,7.49,0.535,0.518,0.008,0.312,1.4,4.8
Tim Duncan,Wake Forest,1997,1,PF,128,35.1,10.7,0.577,0.588,0.321,0.689,16.5,9.98,0.613,0.584,0.039,0.552,9.8,21.1
Keith Van Horn,Utah,1997,2,PF,122,30.6,14,0.522,0.575,0.401,0.851,20.8,4.82,0.631,0.583,0.301,0.382,10.5,19.7
Chauncey Billups,Colorado,1997,3,PG,55,33.9,13.1,0.413,0.437,0.382,0.857,18.5,6.42,0.574,0.497,0.437,0.497,5.7,11.2
Antonio Daniels,Bowling Green State,1997,4,SG,111,33.3,11.4,0.515,0.54,0.396,0.758,16.1,1.36,0.591,0.549,0.168,0.423,7.5,7.8
Tony Battie,Texas Tech,1997,5,PF,87,24.7,7.7,0.545,0.56,0.278,0.649,10.7,3.6,0.575,0.553,0.053,0.423,4.5,8.4
Ron Mercer,Kentucky,1997,6,SG,76,26,11,0.483,0.529,0.344,0.782,13.3,9.63,0.552,0.526,0.25,0.203,4.5,15.3
Tim Thomas,Villanova,1997,7,SF,32,31.4,13,0.45,0.507,0.336,0.796,16.9,9.45,0.555,0.506,0.337,0.365,2.6,11
Adonal Foyle,Colgate,1997,8,C,87,36.5,15,0.547,0.551,0.1,0.491,20.4,-5.01,0.541,0.548,0.008,0.55,5,3
Danny Fortson,Cincinnati,1997,9,PF,100,26.9,11.6,0.565,0.566,0,0.743,18.8,7.35,0.617,0.565,0.003,0.663,10.3,10.2
Tariq Abdul-Wahad,San Jose State,1997,10,SG,87,23.4,10.4,0.477,0.509,0.322,0.726,13.6,6.57,0.548,0.504,0.169,0.421,4.8,6.4
Austin Croshere,Providence,1997,11,PF,121,23.6,9.3,0.44,0.502,0.34,0.843,12.6,8.81,0.567,0.505,0.384,0.407,6.2,2.9
Derek Anderson,Kentucky,1997,12,SF,99,24.9,8.5,0.482,0.532,0.364,0.805,12.4,10.44,0.593,0.536,0.296,0.472,4.5,11.7
Maurice Taylor,Michigan,1997,13,PF,98,28.5,10.8,0.497,0.5,0.313,0.642,12.9,9.33,0.521,0.499,0.015,0.294,3.5,11.5
Kelvin Cato,Iowa State,1997,14,C,79,24.4,7.9,0.434,0.435,0,0.584,9.1,4.07,0.468,0.434,0.002,0.486,0.5,3.8
Brevin Knight,Stanford,1997,15,PG,115,32.2,10.8,0.416,0.439,0.336,0.798,14.9,7.59,0.539,0.453,0.224,0.598,4.9,9
Johnny Taylor,Chattanooga,1997,16,SF,62,30.1,12.8,0.497,0.55,0.337,0.692,17.3,-5.61,0.568,0.539,0.25,0.387,5.8,3.2
Scot Pollard,Kansas,1997,17,C,128,21.5,6,0.549,0.549,1,0.669,9.4,8.45,0.588,0.55,0.001,0.691,3.7,2.7
Paul Grant,Wisconsin,1997,18,C,116,16.8,4.9,0.498,0.5,0,0.699,6.3,8.05,0.536,0.498,0.004,0.402,1.9,0.7
Anthony Parker,Bradley,1997,19,SG,112,32.2,10.5,0.447,0.5,0.379,0.75,15,2.23,0.58,0.53,0.439,0.5,6,1.9
Ed Gray,California,1997,20,SG,81,29.3,15.2,0.422,0.485,0.302,0.773,18.3,8.03,0.521,0.474,0.342,0.337,4.9,7.6
Bobby Jackson,Minnesota,1997,21,PG,60,29.7,11.9,0.427,0.471,0.307,0.786,14.4,8.06,0.519,0.469,0.268,0.346,3,11.6
Rodrick Rhodes,USC,1997,22,SF,124,25.2,9.2,0.428,0.472,0.339,0.721,12.6,9.59,0.542,0.484,0.332,0.557,1.3,5.8
John Thomas,Minnesota,1997,23,PF,124,20.7,5.7,0.496,0.497,0,0.536,7.1,8.13,0.509,0.496,0.001,0.496,2.4,2.8
Charles Smith,NMSU,1997,24,SG,126,30,13,0.449,0.512,0.342,0.731,15.8,3.32,0.541,0.513,0.369,0.26,6.4,3.5
Jacque Vaughn,Kansas,1997,25,PG,126,30.2,6.6,0.459,0.496,0.383,0.708,9.6,8.45,0.569,0.522,0.327,0.564,3.8,3.1
Keith Booth,Maryland,1997,26,SF,126,30.7,10.2,0.456,0.478,0.21,0.699,14.1,9.23,0.528,0.465,0.081,0.638,4.3,1.7
Michael Olowokandi,Pacific,1998,1,C,77,15.7,9.7,0.592,0.592,0,0.466,13.5,-1.18,0.575,0.592,0,0.437,5.9,8.9
Mike Bibby,Arizona,1998,2,PG,69,32.3,11.4,0.456,0.514,0.39,0.73,15.4,9.68,0.578,0.548,0.468,0.342,5.7,13.2
Raef LaFrentz,Kansas,1998,3,C,131,27.5,11.3,0.555,0.56,0.371,0.712,15.8,7.94,0.589,0.56,0.024,0.381,10.2,13.8
Antawn Jamison,UNC,1998,4,SF,104,33.6,13.1,0.577,0.583,0.296,0.617,19,11.3,0.593,0.58,0.02,0.466,11.8,9.6
Vince Carter,UNC,1998,5,SF,103,23,8.5,0.547,0.625,0.368,0.705,12.3,11.3,0.622,0.603,0.306,0.332,9,18.3
Robert Traylor,Michigan,1998,6,C,91,24.4,9.6,0.566,0.566,0,0.545,13.3,9.57,0.567,0.566,0.001,0.456,6.4,5.3
Jason Williams,Florida,1998,7,PG,48,29.1,11,0.483,0.549,0.394,0.793,14.9,1.3,0.598,0.567,0.426,0.274,4.3,12.8
Larry Hughes,Saint Louis,1998,8,PG,32,,16.9,0.415,0.461,0.29,0.692,20.9,5.51,0.505,0.454,0.269,0.481,1.8,9.1
Paul Pierce,Kansas,1998,9,SF,108,28.1,12.4,0.481,0.518,0.355,0.697,16.4,7.24,0.555,0.521,0.227,0.396,8,16.5
Bonzi Wells,Ball State,1998,10,SF,116,31,16.4,0.48,0.526,0.325,0.681,21.4,1.63,0.549,0.517,0.23,0.399,9.3,4.4
Michael Doleac,Utah,1998,11,C,133,22.2,7.8,0.491,0.496,0.404,0.784,11.4,5.42,0.571,0.501,0.05,0.577,7.9,6.2
Keon Clark,UNLV,1998,12,C,39,28.1,10.4,0.554,0.567,0.37,0.638,14.8,4.38,0.585,0.567,0.067,0.456,3.5,3.3
Michael Dickerson,Arizona,1998,13,SG,130,24.1,11.2,0.458,0.494,0.367,0.728,13.8,9.54,0.54,0.51,0.286,0.284,5.7,10.9
Matt Harpring,Georgia Tech,1998,14,SF,124,36,13.1,0.465,0.523,0.361,0.753,17.9,10.66,0.573,0.53,0.361,0.416,10,8.2
Bryce Drew,Valparaiso,1998,15,PG,121,35.1,12.8,0.449,0.466,0.435,0.834,17.7,-6.45,0.605,0.567,0.54,0.299,12.1,3.5
Pat Garrity,Notre Dame,1998,16,PF,111,32.1,13.8,0.488,0.516,0.358,0.747,18.8,6.82,0.565,0.52,0.182,0.427,8.8,5.6
Roshown McLeod,Duke,1998,17,SF,126,21.1,8.3,0.479,0.501,0.383,0.711,10.7,8.4,0.553,0.515,0.185,0.361,5.2,4.8
Ricky Davis,Iowa,1998,18,SG,31,,12,0.466,0.518,0.308,0.698,15,6.04,0.537,0.504,0.245,0.348,1.8,4.5
Brian Skinner,Baylor,1998,19,PF,103,31.7,11.4,0.575,0.575,0,0.558,16.5,2.18,0.577,0.575,0,0.545,8.2,4.1
Tyronn Lue,Nebraska,1998,20,PG,99,32.6,12.7,0.446,0.489,0.356,0.788,15.9,6.45,0.546,0.504,0.324,0.316,7.2,5
Felipe Lopez,St. John's (NY),1998,21,SG,114,34.5,14.2,0.415,0.468,0.296,0.657,16.9,7.86,0.499,0.461,0.31,0.414,2.8,9.3
Sam Jacobson,Minnesota,1998,22,PG,130,23.4,11.2,0.437,0.471,0.365,0.718,13.1,7.67,0.523,0.496,0.324,0.248,5,4
Corey Benjamin,Oregon State,1998,23,PG,48,26.1,13,0.491,0.586,0.305,0.688,17.5,8.65,0.57,0.543,0.337,0.38,4.6,3.8
Nazr Mohammed,Kentucky,1998,24,C,94,12.8,6.4,0.553,0.555,0,0.581,8.7,9.7,0.562,0.553,0.003,0.409,3.9,1.6
Elton Brand,Duke,1999,1,PF,60,29.3,9.7,0.612,0.612,0,0.672,16.2,9.73,0.635,0.612,0,0.672,6.8,20.1
Steve Francis,Maryland,1999,2,PG,34,30.7,11.5,0.523,0.58,0.388,0.79,17,9.1,0.62,0.58,0.296,0.401,4.1,18
Baron Davis,UCLA,1999,3,PG,59,30.7,9.7,0.503,0.583,0.328,0.631,13.6,9.93,0.574,0.554,0.315,0.469,4.3,5.9
Lamar Odom,Rhode Island,1999,4,SF,32,34.9,13.2,0.482,0.53,0.33,0.687,17.6,5.58,0.556,0.521,0.238,0.432,2.9,16.6
Wally Szczerbiak,Miami (OH),1999,5,SF,105,28.5,12.5,0.512,0.558,0.431,0.809,17.6,1.97,0.621,0.59,0.361,0.284,14.5,11.6
Richard Hamilton,UConn,1999,6,SG,103,31.4,15.7,0.426,0.456,0.378,0.826,19.8,8.27,0.547,0.499,0.387,0.311,9.5,9
Andre Miller,Utah,1999,7,PG,134,29.4,8.6,0.513,0.558,0.294,0.676,12.1,5.01,0.571,0.538,0.172,0.496,10.3,11.1
Shawn Marion,UNLV,1999,8,SF,29,32.9,14.4,0.529,0.573,0.299,0.73,18.7,4.52,0.577,0.553,0.16,0.266,3,10.2
Jason Terry,Arizona,1999,9,PG,129,25.1,8.6,0.443,0.503,0.374,0.784,11.3,9.02,0.57,0.529,0.465,0.336,7.5,8.1
Trajan Langdon,Duke,1999,10,SG,136,28.9,10.1,0.451,0.486,0.426,0.862,14.5,10.15,0.62,0.575,0.581,0.325,11.5,4.9
Corey Maggette,Duke,1999,11,SF,39,17.7,6.7,0.525,0.61,0.345,0.716,10.6,10.13,0.619,0.58,0.322,0.594,2.7,8.4
William Avery,Duke,1999,12,PG,74,31,8.7,0.47,0.554,0.369,0.784,11.9,9.73,0.59,0.553,0.454,0.322,5.1,2.6
Metta World Peace,St. John's (NY),1999,13,SF,69,34.2,10.9,0.445,0.492,0.355,0.589,13.1,7.93,0.521,0.506,0.344,0.327,3.1,12
Cal Bowdler,Old Dominion,1999,14,SF,118,20.6,6.8,0.451,0.492,0.264,0.625,8.6,-0.76,0.51,0.474,0.179,0.508,2.9,2.7
James Posey,Xavier,1999,15,SF,95,31.5,9.3,0.527,0.594,0.329,0.808,15.3,4.64,0.633,0.568,0.251,0.63,11,8.2
Quincy Lewis,Minnesota,1999,16,SG,127,21.1,10.4,0.46,0.505,0.344,0.723,12.7,8.59,0.538,0.508,0.279,0.281,6.8,3.8
Dion Glover,Georgia Tech,1999,17,SG,33,,15.2,0.441,0.525,0.271,0.64,18.4,8.7,0.514,0.486,0.33,0.37,1.7,6.5
Jeff Foster,Texas State,1999,18,C,111,21.3,7.1,0.508,0.505,1,0.639,9.8,-7.6,0.544,0.51,0.005,0.556,4.9,2.3
Kenny Thomas,New Mexico,1999,19,PF,123,31.7,10.1,0.537,0.569,0.353,0.74,15.7,3.23,0.61,0.563,0.148,0.582,13.3,8.3
Tim James,Miami (FL),1999,20,SF,115,28.5,12.4,0.476,0.486,0.278,0.644,14.9,7.22,0.511,0.483,0.05,0.359,4.9,2.8
Vonteego Cummings,Pitt,1999,21,PG,103,32.3,12.7,0.423,0.463,0.334,0.699,15.3,7.9,0.514,0.474,0.306,0.371,5.1,9.4
Jumaine Jones,Georgia,1999,22,SF,65,34.4,13.2,0.449,0.492,0.351,0.751,16.6,8.11,0.542,0.502,0.305,0.337,4.5,1.7
Scott Padgett,Kentucky,1999,23,PF,122,22.8,7.7,0.449,0.517,0.364,0.759,10.3,9.66,0.568,0.53,0.443,0.352,6.9,2.6
Kenyon Martin,Cincinnati,2000,1,PF,116,23.7,7.5,0.586,0.59,0.222,0.581,11,6.65,0.592,0.587,0.01,0.494,8.2,12
Stromile Swift,LSU,2000,2,PF,50,26.6,9,0.56,0.585,0.242,0.613,13.4,5.84,0.585,0.569,0.073,0.566,4.1,4.9
Marcus Fizer,Iowa State,2000,3,PF,97,32.9,13.9,0.511,0.524,0.292,0.702,18.9,6.27,0.558,0.519,0.053,0.453,9.2,9.5
Mike Miller,Florida,2000,4,SF,65,26.7,9.2,0.483,0.565,0.345,0.718,13.3,7.07,0.586,0.547,0.376,0.473,5,11.9
DerMarr Johnson,Cincinnati,2000,5,SF,32,27.5,9.2,0.478,0.575,0.371,0.737,12.6,8.5,0.594,0.567,0.478,0.324,2.6,5.1
Chris Mihm,Texas,2000,6,C,96,31.4,10.4,0.497,0.503,0.3,0.684,14.6,7.62,0.548,0.501,0.03,0.581,6.3,7.6
Jamal Crawford,Michigan,2000,7,PG,17,33.9,15,0.412,0.468,0.327,0.784,16.6,9.27,0.507,0.476,0.396,0.2,0.7,4.6
Joel Przybilla,Minnesota,2000,8,C,49,27.6,6.9,0.591,0.591,0,0.521,9.9,9.77,0.583,0.591,0,0.479,3,0.8
Keyon Dooling,Missouri,2000,9,PG,59,28.1,9.2,0.411,0.452,0.338,0.733,12.1,6.05,0.531,0.472,0.365,0.51,2.9,5.9
Jerome Moiso,UCLA,2000,10,C,62,26.8,9.8,0.495,0.505,0.227,0.614,12,9.47,0.521,0.499,0.036,0.362,2.4,1.5
Etan Thomas,Syracuse,2000,11,C,122,26,6.8,0.6,0.6,0,0.598,11,7.2,0.608,0.6,0,0.709,9.3,4.3
Courtney Alexander,Fresno State,2000,12,PG,112,30.9,15.8,0.456,0.488,0.362,0.767,18.9,7.56,0.535,0.503,0.259,0.248,7.9,9.5
Mateen Cleaves,Michigan State,2000,13,PG,123,29.6,10.8,0.406,0.454,0.313,0.738,12.5,9.5,0.502,0.459,0.343,0.324,4.7,5.4
Jason Collier,Georgia Tech,2000,14,C,97,29.6,10.8,0.458,0.478,0.369,0.711,13.9,9.13,0.535,0.491,0.179,0.428,5.3,3.1
Desmond Mason,Oklahoma State,2000,15,SF,129,30,9.8,0.486,0.529,0.372,0.731,13.2,5.94,0.572,0.537,0.275,0.367,9.4,5.9
Quentin Richardson,DePaul,2000,16,SG,64,34.2,14,0.454,0.5,0.369,0.728,17.9,7.85,0.553,0.519,0.355,0.338,5.5,8.1
Jamaal Magloire,Kentucky,2000,17,C,145,21.2,5.4,0.503,0.503,0,0.636,7.3,10.42,0.537,0.503,0,0.554,4.4,4.6
Speedy Claxton,Hofstra,2000,18,PG,119,33.8,12.6,0.468,0.491,0.322,0.748,16.9,-4.42,0.545,0.49,0.134,0.48,9.9,7.2
Morris Peterson,Michigan State,2000,19,SG,137,23.4,8.5,0.484,0.537,0.377,0.746,11.6,9.41,0.582,0.547,0.333,0.367,10,9.3
Donnell Harvey,Florida,2000,20,PF,37,20.2,7.7,0.507,0.509,0,0.61,10.1,8.51,0.533,0.507,0.004,0.496,1.3,1.2
Mamadou N'Diaye,Auburn,2000,21,C,128,20.8,4.9,0.506,0.508,0,0.641,6.8,6.11,0.543,0.506,0.003,0.587,3.9,1.3
Erick Barkley,St. John's (NY),2000,22,PG,65,34.8,12.3,0.396,0.444,0.328,0.727,14.6,8.02,0.508,0.464,0.409,0.363,2.9,2.4
Mark Madsen,Stanford,2000,23,PF,108,24.8,6.8,0.587,0.589,0,0.596,10.9,8.67,0.598,0.587,0.003,0.737,7.6,2
Jason Richardson,Michigan State,2001,1,SG,70,21.7,7.4,0.503,0.551,0.383,0.649,9.6,9.73,0.573,0.558,0.287,0.285,3.7,14.4
Shane Battier,Duke,2001,2,SF,146,31.4,8.9,0.5,0.57,0.416,0.777,13.6,10.08,0.632,0.594,0.454,0.431,13.5,14.4
Eddie Griffin,Seton Hall,2001,3,PF,30,32.6,16,0.429,0.469,0.32,0.734,17.8,6.03,0.501,0.472,0.267,0.227,1,8.8
Rodney White,Charlotte,2001,4,SF,28,30.9,13.8,0.487,0.533,0.347,0.713,18.7,7.91,0.566,0.53,0.246,0.415,2.5,3.5
Joe Johnson,Arkansas,2001,5,SG,53,30.3,12.2,0.466,0.485,0.406,0.753,15,6.96,0.545,0.515,0.239,0.262,3.3,7.5
Richard Jefferson,Arizona,2001,6,SF,84,26.3,8.1,0.49,0.528,0.368,0.718,11.2,10.19,0.572,0.534,0.238,0.436,5,9.4
Troy Murphy,Notre Dame,2001,7,PF,94,35.1,14.6,0.496,0.522,0.335,0.777,21.4,6.35,0.582,0.52,0.139,0.551,11.5,5.9
Steven Hunter,DePaul,2001,8,C,63,24.6,6.8,0.586,0.589,0,0.6,9.9,7.92,0.594,0.586,0.005,0.465,3.8,3.6
Kirk Haston,Indiana,2001,9,PF,96,26.8,12,0.473,0.48,0.366,0.717,14.6,10.88,0.523,0.484,0.062,0.354,4.5,1.7
Michael Bradley,Villanova,2001,10,PF,100,27.4,6.5,0.677,0.695,0.353,0.541,10.9,8.74,0.662,0.687,0.052,0.548,8.8,1.2
Jason Collins,Stanford,2001,11,C,73,22.1,5.9,0.612,0.623,0.444,0.716,10.8,8.87,0.662,0.626,0.063,0.813,6.4,4.5
Zach Randolph,Michigan State,2001,12,PF,33,19.8,7.1,0.587,0.59,0,0.635,10.8,9.54,0.604,0.587,0.004,0.536,2.3,2.8
Brendan Haywood,UNC,2001,13,C,141,29.2,6,0.637,0.637,0,0.591,10,11.05,0.634,0.637,0,0.656,10.6,5.1
Joseph Forte,UNC,2001,14,SG,69,33.9,15.3,0.454,0.489,0.368,0.81,18.7,11.79,0.544,0.507,0.286,0.259,5.3,0.8
Jeryl Sasser,SMU,2001,15,SG,117,35,14.6,0.394,0.438,0.28,0.71,17,2.13,0.485,0.433,0.278,0.421,2.9,1.4
Brandon Armstrong,Pepperdine,2001,16,SG,65,30.4,15.1,0.439,0.467,0.391,0.824,18.1,2.56,0.544,0.511,0.37,0.214,5,1.8
Gerald Wallace,Alabama,2001,17,SF,36,22.9,8,0.438,0.511,0.175,0.568,9.8,6.27,0.485,0.457,0.219,0.538,0.4,3.2
Samuel Dalembert,Seton Hall,2001,18,C,59,21.4,5.5,0.537,0.537,0,0.539,7.1,5.57,0.542,0.537,0,0.393,1.6,1.5
Jamaal Tinsley,Iowa State,2001,19,PG,68,32.5,10.8,0.388,0.405,0.327,0.685,12.5,6,0.477,0.423,0.217,0.459,1.1,9.4
Jay Williams,Duke,2002,1,PG,108,33.1,14.6,0.453,0.514,0.393,0.671,19.3,10,0.572,0.552,0.506,0.322,10.3,9.5
Mike Dunleavy,Duke,2002,2,SF,104,28.8,10.1,0.475,0.564,0.371,0.698,13.2,10,0.58,0.56,0.46,0.265,7,5.7
Drew Gooden,Kansas,2002,3,SF-PF,98,26.2,12.3,0.493,0.503,0.306,0.698,15.6,9.39,0.537,0.501,0.051,0.379,5.2,12.5
Dajuan Wagner,Memphis,2002,4,SG,36,31.8,18,0.41,0.453,0.317,0.722,21.2,4.72,0.504,0.461,0.321,0.355,1.7,13.4
Chris Wilcox,Maryland,2002,5,PF,70,16.6,6.2,0.52,0.522,0,0.589,7.9,10.19,0.536,0.52,0.005,0.418,1.9,3.7
Caron Butler,UConn,2002,6,SF,63,34.5,13.8,0.465,0.482,0.364,0.768,18,6.43,0.544,0.491,0.139,0.426,4.6,15.4
Jared Jeffries,Indiana,2002,7,SF,70,32.6,11.2,0.45,0.472,0.325,0.643,14.4,11.56,0.515,0.475,0.153,0.521,3,4
Melvin Ely,Fresno State,2002,8,C,124,32.5,11,0.577,0.578,0.333,0.648,15.7,4.4,0.595,0.578,0.002,0.42,11.3,4.5
Marcus Haislip,Tennessee,2002,9,PF,89,17.1,5.9,0.53,0.568,0.373,0.705,8.4,9.77,0.596,0.566,0.196,0.422,4.4,4.1
Fred Jones,Oregon,2002,10,SG,125,28.2,9.2,0.481,0.568,0.338,0.805,13.2,8.05,0.595,0.545,0.378,0.42,9.7,1.2
Juan Dixon,Maryland,2002,11,PG,141,28.4,12.1,0.468,0.513,0.389,0.85,16.1,9.73,0.582,0.538,0.359,0.292,12.2,6.4
Curtis Borchardt,Stanford,2002,12,C,66,21.6,6.6,0.534,0.551,0.375,0.691,10.2,8.67,0.592,0.552,0.092,0.631,3.8,3.6
Ryan Humphrey,Notre Dame,2002,13,PF,123,30.7,10.6,0.495,0.497,0.364,0.536,13.3,5.21,0.51,0.498,0.017,0.472,4.1,1.9
Kareem Rush,Missouri,2002,14,PG,84,30.2,14.7,0.445,0.464,0.422,0.777,18.9,8.07,0.569,0.537,0.434,0.269,7.9,3
Casey Jacobsen,Stanford,2002,15,SF,95,31.8,12.2,0.47,0.505,0.427,0.771,18.1,8.67,0.609,0.566,0.447,0.454,11.3,5.1
Tayshaun Prince,Kentucky,2002,16,SF,135,29.8,10.5,0.457,0.556,0.329,0.743,13.1,11.42,0.557,0.529,0.438,0.261,8.4,3.3
Frank Williams,Illinois,2002,17,PG,101,31.7,11.7,0.396,0.433,0.326,0.807,14.3,10.3,0.515,0.453,0.351,0.39,4.3,1.3
John Salmons,Miami (FL),2002,18,PG,124,30.8,7.7,0.466,0.523,0.321,0.805,10.4,6.25,0.566,0.511,0.281,0.408,7.1,2.1
Chris Jefferies,Fresno State,2002,19,SF,88,28,10.1,0.436,0.5,0.338,0.628,12.9,5.45,0.53,0.503,0.397,0.446,3.9,3.9
Dan Dickau,Gonzaga,2002,20,PG,97,32.1,8.7,0.451,0.436,0.462,0.854,13.3,4.85,0.634,0.578,0.553,0.441,9.5,3.7
Carmelo Anthony,Syracuse,2003,1,SF,35,36.4,17.5,0.453,0.496,0.337,0.706,22.2,9.02,0.537,0.498,0.271,0.389,2.7,21
Chris Bosh,Georgia Tech,2003,2,C,31,31,9.7,0.56,0.575,0.478,0.73,15.6,7.94,0.634,0.597,0.153,0.58,3.5,11.5
Dwyane Wade,Marquette,2003,3,PG,65,30.7,14.8,0.494,0.512,0.333,0.745,19.7,6.03,0.557,0.511,0.1,0.421,6,16.2
Chris Kaman,Central Michigan,2003,4,C,83,26.3,8.8,0.608,0.608,0,0.713,15.1,1.05,0.643,0.608,0,0.685,9.2,6.1
Kirk Hinrich,Kansas,2003,5,PG,141,29.7,8.8,0.493,0.542,0.43,0.776,12.4,9.68,0.616,0.587,0.438,0.298,11.5,12
T.J. Ford,Texas,2003,6,PG,66,33,10.5,0.406,0.436,0.228,0.801,12.9,9.63,0.5,0.422,0.145,0.478,2,7.1
Mike Sweetney,Georgetown,2003,7,PF,96,29,11.6,0.544,0.546,0,0.727,18.2,4.02,0.597,0.544,0.004,0.658,10.4,4.3
Jarvis Hayes,Georgia,2003,8,SF,84,31.4,15,0.457,0.502,0.369,0.772,18,5.2,0.546,0.519,0.339,0.209,6,9.6
Nick Collison,Kansas,2003,9,C,142,27.4,10.7,0.562,0.571,0.359,0.624,14.8,9.68,0.583,0.57,0.042,0.376,11,5.6
Marcus Banks,UNLV,2003,10,PG,63,34.3,12.2,0.495,0.551,0.33,0.731,18.1,4.77,0.585,0.537,0.256,0.555,6.4,5.9
Luke Ridnour,Oregon,2003,11,PG,96,33.6,10.5,0.429,0.472,0.389,0.859,14.6,6.98,0.588,0.53,0.519,0.387,7.8,5.5
Reece Gaines,Louisville,2003,12,PG,125,31.6,11.2,0.452,0.502,0.383,0.75,15.6,7.91,0.577,0.533,0.421,0.435,10.6,1.8
Troy Bell,Boston College,2003,13,PG,122,35.7,14.7,0.424,0.467,0.372,0.868,21.6,5.85,0.588,0.508,0.45,0.52,15.3,1.8
David West,Xavier,2003,14,PF,126,33.4,10.8,0.531,0.54,0.327,0.757,16.9,4.18,0.598,0.538,0.04,0.64,13.7,3.8
Dahntay Jones,Duke,2003,15,SG,131,29.8,10.7,0.452,0.484,0.344,0.745,13.8,7.31,0.539,0.491,0.225,0.41,7,1.8
Brian Cook,Illinois,2003,16,C,132,25.7,9.4,0.51,0.558,0.339,0.793,13.2,9.42,0.592,0.547,0.222,0.388,10.6,4.4
Josh Howard,Wake Forest,2003,17,SF,127,27.8,10.5,0.483,0.522,0.353,0.708,13.9,9.17,0.558,0.524,0.231,0.383,8.1,8.6
Emeka Okafor,UConn,2004,1,PF,103,31.8,9.7,0.59,0.59,0,0.564,13.8,7.61,0.591,0.59,0,0.449,8.2,15.1
Ben Gordon,UConn,2004,2,SG,106,31,12.7,0.44,0.452,0.423,0.795,16.9,7.61,0.574,0.531,0.433,0.346,9.6,15.1
Devin Harris,Wisconsin,2004,3,PG,96,35,10.2,0.447,0.522,0.375,0.778,14.8,7.74,0.593,0.542,0.509,0.474,9.8,5.7
Josh Childress,Stanford,2004,4,SG,86,28.6,10.2,0.438,0.494,0.335,0.755,12.3,7.25,0.532,0.497,0.352,0.278,3.9,10.1
Luol Deng,Duke,2004,5,SF,37,31.1,11.9,0.476,0.515,0.36,0.71,15.1,10.86,0.551,0.522,0.252,0.313,2.4,11.7
Rafael Araujo,BYU,2004,6,C,62,27.4,10.4,0.567,0.587,0.268,0.691,15.1,5.79,0.601,0.575,0.063,0.43,6.1,3.3
Andre Iguodala,Arizona,2004,7,SG,62,25.4,7.8,0.424,0.473,0.274,0.738,9.6,7.79,0.511,0.458,0.242,0.427,1.4,9
Luke Jackson,Oregon,2004,8,SF,126,29.1,11.1,0.461,0.488,0.402,0.849,15.6,6.96,0.586,0.524,0.31,0.426,10.8,2.9
Kris Humphries,Minnesota,2004,9,PF,29,34.1,17.2,0.444,0.455,0.34,0.742,21.7,5.36,0.518,0.461,0.1,0.46,1.8,4.1
Kirk Snyder,Nevada,2004,10,SG,84,30.8,13.3,0.426,0.477,0.31,0.677,16.7,3.25,0.516,0.473,0.305,0.454,3.9,5
Jameer Nelson,St. Joseph's,2004,11,PG,125,34.5,12.4,0.454,0.514,0.365,0.786,16.8,4.12,0.573,0.527,0.405,0.377,11.7,8.7
Delonte West,St. Joseph's,2004,12,SG,89,26.8,10.3,0.489,0.544,0.377,0.831,13.9,4,0.59,0.551,0.326,0.29,7.8,4.5
Tony Allen,Oklahoma State,2004,13,SG,67,31.4,11.5,0.477,0.508,0.347,0.682,15.3,7.84,0.547,0.51,0.195,0.449,4.6,6.4
Kevin Martin,Western Carolina,2004,14,PG,79,31.8,15.5,0.462,0.542,0.346,0.841,23.3,-3.74,0.602,0.533,0.411,0.519,11.2,2.9
David Harrison,Colorado,2004,15,C,88,28.2,9.2,0.601,0.602,0,0.553,15,6.73,0.596,0.601,0.001,0.754,7.7,6.1
Andrew Bogut,Utah,2005,1,PF,68,32.7,10.9,0.603,0.616,0.361,0.674,16.6,4.53,0.629,0.612,0.048,0.429,9.4,9.4
Marvin Williams,UNC,2005,2,PF,36,22.2,6.9,0.506,0.522,0.432,0.847,11.3,10.66,0.627,0.545,0.178,0.66,2.6,8.5
Deron Williams,Illinois,2005,3,PG,101,31.7,9.4,0.422,0.464,0.374,0.685,11,7.44,0.529,0.508,0.46,0.228,4.4,10.8
