Player,School,Year,Pick,TRB,AST,STL,BLK,PTS,SOS,TS%,3PAr,FTr,All-Star
Shawn Respert,Michigan State,1995,7,3.5,2.5,1.2,0.1,21.3,9.71,0.617,0.407,0.305,0
Ed O'Bannon,UCLA,1995,8,7,1.8,1.2,0.8,15.5,8.91,0.583,0.175,0.377,0
Kurt Thomas,TCU,1995,9,9,1.2,1,1.9,17.4,1.33,0.564,0.054,0.453,0
Gary Trent,Ohio,1995,10,11.3,2,0.6,1.1,22.7,0.19,0.608,0.05,0.522,0
Allen Iverson,Georgetown,1996,1,3.6,4.6,3.2,0.3,23,8.12,0.535,0.332,0.485,1
Marcus Camby,UMass,1996,2,7,1.4,0.8,3.7,15.1,7.75,0.535,0.012,0.433,0
Shareef Abdur-Rahim,California,1996,3,8.4,1,1.9,1.3,21.1,6.44,0.571,0.053,0.626,1
Stephon Marbury,Georgia Tech,1996,4,3.1,4.5,1.8,0.1,18.9,12.71,0.574,0.463,0.319,1
Ray Allen,UConn,1996,5,6,2.4,1.6,0.4,19,7.3,0.594,0.359,0.247,1
Antoine Walker,Kentucky,1996,6,6.5,2.2,1.3,0.5,11.7,9.85,0.494,0.143,0.282,1
Lorenzen Wright,Memphis,1996,7,10.3,1.3,1,2,16,6.18,0.572,0.003,0.463,0
Kerry Kittles,Villanova,1996,8,5.9,3.3,2.3,0.4,18.4,9.47,0.58,0.411,0.261,0
Samaki Walker,Louisville,1996,9,7.3,1.2,0.7,2.4,14.3,8.83,0.578,0.014,0.572,0
Erick Dampier,Mississippi State,1996,10,9.2,1.4,0.6,2.7,13.2,8.21,0.589,0,0.58,0
Tim Duncan,Wake Forest,1997,1,12.3,2.3,0.5,3.8,16.5,9.98,0.613,0.039,0.552,1
Keith Van Horn,Utah,1997,2,8.8,1.2,0.7,1,20.8,4.82,0.631,0.301,0.382,0
Chauncey Billups,Colorado,1997,3,5.6,5.1,1.9,0.1,18.5,6.42,0.574,0.437,0.497,1
Antonio Daniels,Bowling Green State,1997,4,2.9,5.2,1.5,0.3,16.1,1.36,0.591,0.168,0.423,0
Tony Battie,Texas Tech,1997,5,8.3,0.8,0.6,1.9,10.7,3.6,0.575,0.053,0.423,0
Ron Mercer,Kentucky,1997,6,4.1,1.9,1.3,0.2,13.3,9.63,0.552,0.25,0.203,0
Tim Thomas,Villanova,1997,7,6,2.1,1.8,1,16.9,9.45,0.555,0.337,0.365,0
Adonal Foyle,Colgate,1997,8,12.7,1.5,0.7,5.7,20.4,-5.01,0.541,0.008,0.55,0
Danny Fortson,Cincinnati,1997,9,8.7,1.2,0.9,0.4,18.8,7.35,0.617,0.003,0.663,0
Tariq Abdul-Wahad,San Jose State,1997,10,5.4,1.3,1,0.6,13.6,6.57,0.548,0.169,0.421,0
Michael Olowokandi,Pacific,1998,1,7.5,0.5,0.2,2.1,13.5,-1.18,0.575,0,0.437,0
Mike Bibby,Arizona,1998,2,3.1,5.5,2.3,0.2,15.4,9.68,0.578,0.468,0.342,0
Raef LaFrentz,Kansas,1998,3,9.1,0.7,0.7,1.1,15.8,7.94,0.589,0.024,0.381,0
Antawn Jamison,UNC,1998,4,9.9,0.9,0.9,0.8,19,11.3,0.593,0.02,0.466,1
Vince Carter,UNC,1998,5,4.5,1.9,1.1,0.8,12.3,11.3,0.622,0.306,0.332,1
Robert Traylor,Michigan,1998,6,8.2,1.5,1.1,1.1,13.3,9.57,0.567,0.001,0.456,0
Jason Williams,Florida,1998,7,3.3,6.5,2.1,0.3,14.9,1.3,0.598,0.426,0.274,0
Larry Hughes,Saint Louis,1998,8,5.1,2.4,2.2,0.4,20.9,5.51,0.505,0.269,0.481,0
Paul Pierce,Kansas,1998,9,6.3,2.2,1.4,0.9,16.4,7.24,0.555,0.227,0.396,1
Bonzi Wells,Ball State,1998,10,7.3,3.3,3,0.8,21.4,1.63,0.549,0.23,0.399,0
Elton Brand,Duke,1999,1,8.9,0.9,1.4,1.9,16.2,9.73,0.635,0,0.672,1
