Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Allen Iverson,Georgetown,1996,1,67,37,32.5,7.7,17.5,0.44,5.9,11.7,0.503,1.8,5.8,0.314,5.8,8.5,0.683,,,3.6,4.6,3.2,0.3,4.1,2.5,23,8.12,,0.535,0.492,0.332,0.485,,,,,,,,15.9,,5.1,3.5,8.6,0.158,,,
Marcus Camby,UMass,1996,2,92,63,25.3,5.9,11.7,0.501,5.8,11.6,0.506,0,0.1,0.077,3.3,5.1,0.661,,,7,1.4,0.8,3.7,2,2.8,15.1,7.75,,0.535,0.501,0.012,0.433,,,,,,,,12.6,,2.2,5.9,8.1,0.139,,,
Shareef Abdur-Rahim,California,1996,3,28,,34.7,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0.381,6.1,8.9,0.683,,,8.4,1,1.9,1.3,3.1,2.1,21.1,6.44,,0.571,0.528,0.053,0.626,,,,,,,,14.4,,3.1,2.3,5.4,0.221,,,
Stephon Marbury,Georgia Tech,1996,4,36,35,37.4,6.5,14.3,0.457,4.1,7.7,0.533,2.4,6.6,0.37,3.4,4.6,0.738,,,3.1,4.5,1.8,0.1,3.2,2.3,18.9,12.71,,0.574,0.543,0.463,0.319,,,,,,,,16.3,,3.5,0.8,4.3,0.127,,,
Ray Allen,UConn,1996,5,101,66,28.6,7,14.3,0.487,4.7,9.2,0.508,2.3,5.1,0.448,2.8,3.5,0.779,,,6,2.4,1.6,0.4,1.9,1.4,19,7.3,,0.594,0.567,0.359,0.247,,,,,,,,10.7,,5,3.3,8.3,0.115,,,
Antoine Walker,Kentucky,1996,6,69,2,21,4.7,10.4,0.449,4.3,8.9,0.482,0.4,1.5,0.252,1.9,2.9,0.66,,,6.5,2.2,1.3,0.5,2.1,2.1,11.7,9.85,,0.494,0.467,0.143,0.282,,,,,,,,15.4,,0.9,3.8,4.7,0.131,,,
Lorenzen Wright,Memphis,1996,7,64,,34.8,6.3,11.5,0.551,6.3,11.5,0.553,0,0,0,3.4,5.3,0.635,,,10.3,1.3,1,2,2,2.6,16,6.18,,0.572,0.551,0.003,0.463,,,,,,,,12.7,,2.7,3.7,6.5,0.116,,,
Kerry Kittles,Villanova,1996,8,122,62,36.1,6.7,14.1,0.478,4.5,8.3,0.536,2.3,5.8,0.394,2.6,3.7,0.719,,,5.9,3.3,2.3,0.4,2,1.5,18.4,9.47,,0.58,0.558,0.411,0.261,,,,,,,,11.4,,3.2,2.4,5.6,0.05,,,
Samaki Walker,Louisville,1996,9,50,,29.5,5.5,9.7,0.57,5.5,9.6,0.574,0,0.1,0.286,3.2,5.6,0.568,,,7.3,1.2,0.7,2.4,1.9,2.3,14.3,8.83,,0.578,0.572,0.014,0.572,,,,,,,,13.2,,2.1,1.1,3.2,0.087,,,
Erick Dampier,Mississippi State,1996,10,93,,28.4,5.2,8.8,0.587,5.2,8.8,0.587,0,0,0,2.9,5.1,0.566,,,9.2,1.4,0.6,2.7,2.6,2.9,13.2,8.21,,0.589,0.587,0,0.58,,,,,,,,18.9,,2.7,2.9,5.6,0.084,,,
Todd Fuller,NC State,1996,11,115,89,27.4,5.1,10.2,0.498,4.9,9.7,0.508,0.1,0.5,0.309,3.5,4.3,0.8,,,7.7,1,0.3,1.3,1.5,1.7,13.8,8.63,,0.562,0.506,0.047,0.425,,,,,,,,10.7,,3.5,2.6,6.1,0.078,,,
Vitaly Potapenko,Wright State,1996,12,56,,30.5,7.3,12.1,0.603,7.3,12,0.607,0,0.1,0.167,5.2,7.2,0.725,,,6.9,1.4,0.5,1,4.2,3.7,19.9,-0.92,,0.639,0.604,0.009,0.593,,,,,,,,21.2,,4,1.2,5.2,0.123,,,
Steve Nash,Santa Clara,1996,13,113,,30.1,4.7,10.9,0.43,2.3,5.1,0.462,2.3,5.8,0.401,3.3,3.8,0.867,,,3.1,4.5,1.3,0.1,3.1,1.8,14.9,2.4,,0.59,0.537,0.534,0.347,,,,,,,,19.7,,2.8,1.6,4.4,0.052,,,
Tony Delk,Kentucky,1996,14,133,66,23.7,5.1,10.8,0.474,3,5.5,0.549,2.1,5.4,0.397,1.8,2.6,0.709,,,3.5,1.6,1.5,0.3,1.5,1.8,14.2,9.59,,0.59,0.572,0.494,0.236,,,,,,,,10.7,,4,2.4,6.4,0.082,,,
Tim Duncan,Wake Forest,1997,1,128,96,35.1,6.2,10.7,0.577,6,10.3,0.588,0.1,0.4,0.321,4.1,5.9,0.689,,,12.3,2.3,0.5,3.8,2.6,2.4,16.5,9.98,,0.613,0.584,0.039,0.552,,,,,,,,16.2,,9.8,8.4,18.2,0.162,,,
Keith Van Horn,Utah,1997,2,122,,30.6,7.3,14,0.522,5.6,9.8,0.575,1.7,4.2,0.401,4.5,5.3,0.851,,,8.8,1.2,0.7,1,2.3,2.1,20.8,4.82,,0.631,0.583,0.301,0.382,,,,,,,,12.3,,10.5,5.3,15.8,0.17,,,
Chauncey Billups,Colorado,1997,3,55,,33.9,5.4,13.1,0.413,3.2,7.4,0.437,2.2,5.7,0.382,5.6,6.5,0.857,,,5.6,5.1,1.9,0.1,3.7,2.3,18.5,6.42,,0.574,0.497,0.437,0.497,,,,,,,,18.6,,5.7,2.5,8.2,0.177,,,
Antonio Daniels,Bowling Green State,1997,4,111,,33.3,5.9,11.4,0.515,5.1,9.5,0.54,0.8,1.9,0.396,3.6,4.8,0.758,,,2.9,5.2,1.5,0.3,2.8,1.5,16.1,1.36,,0.591,0.549,0.168,0.423,,,,,,,,17.2,,7.5,3,10.5,0.114,,,
Tony Battie,Texas Tech,1997,5,87,29,24.7,4.2,7.7,0.545,4.1,7.3,0.56,0.1,0.4,0.278,2.1,3.3,0.649,,,8.3,0.8,0.6,1.9,1.6,2.6,10.7,3.6,,0.575,0.553,0.053,0.423,,,,,,,,14.8,,4.5,6.3,10.7,0.199,,,
Ron Mercer,Kentucky,1997,6,76,,26,5.3,11,0.483,4.4,8.3,0.529,0.9,2.8,0.344,1.8,2.2,0.782,,,4.1,1.9,1.3,0.2,1.4,1.9,13.3,9.63,,0.552,0.526,0.25,0.203,,,,,,,,10.2,,4.5,4.7,9.2,0.187,,,
Tim Thomas,Villanova,1997,7,32,,31.4,5.8,13,0.45,4.4,8.6,0.507,1.5,4.4,0.336,3.8,4.8,0.796,,,6,2.1,1.8,1,2.8,2.8,16.9,9.45,,0.555,0.506,0.337,0.365,,,,,,,,15.7,,2.6,2,4.6,0.183,,,
Adonal Foyle,Colgate,1997,8,87,,36.5,8.2,15,0.547,8.2,14.8,0.551,0,0.1,0.1,4,8.2,0.491,,,12.7,1.5,0.7,5.7,3.8,2.4,20.4,-5.01,,0.541,0.548,0.008,0.55,,,,,,,,16.7,,5,5,9.9,0.125,,,
Danny Fortson,Cincinnati,1997,9,100,33,26.9,6.6,11.6,0.565,6.6,11.6,0.566,0,0,0,5.7,7.7,0.743,,,8.7,1.2,0.9,0.4,2.6,3.5,18.8,7.35,,0.617,0.565,0.003,0.663,,,,18.8,10.7,,1.5,14.5,32.3,10.3,5.9,16.1,0.239,,,
Tariq Abdul-Wahad,San Jose State,1997,10,87,,23.4,4.9,10.4,0.477,4.4,8.6,0.509,0.6,1.7,0.322,3.2,4.4,0.726,,,5.4,1.3,1,0.6,2.2,2.7,13.6,6.57,,0.548,0.504,0.169,0.421,,,,,,,,15,,4.8,2.6,7.3,0.144,,,
Austin Croshere,Providence,1997,11,121,,23.6,4.1,9.3,0.44,2.9,5.7,0.502,1.2,3.6,0.34,3.2,3.8,0.843,,,5.3,1,0.9,0.6,1.9,2,12.6,8.81,,0.567,0.505,0.384,0.407,,,,12.5,9.1,1.9,2,14.6,27,6.2,4.3,10.5,0.146,,,
Derek Anderson,Kentucky,1997,12,99,,24.9,4.1,8.5,0.482,3.2,6,0.532,0.9,2.5,0.364,3.2,4,0.805,,,3.8,3.2,1.9,0.2,2,2.5,12.4,10.44,,0.593,0.536,0.296,0.472,,,,,,,,16,,4.5,3.5,7.9,0.129,,,
Maurice Taylor,Michigan,1997,13,98,,28.5,5.4,10.8,0.497,5.3,10.7,0.5,0.1,0.2,0.313,2.1,3.2,0.642,,,6.1,1.2,0.6,0.9,2,2.9,12.9,9.33,,0.521,0.499,0.015,0.294,,,,,,,,14.2,,3.5,4.7,8.2,0.117,,,
Kelvin Cato,Iowa State,1997,14,79,58,24.4,3.4,7.9,0.434,3.4,7.9,0.435,0,0,0,2.2,3.8,0.584,,,7.4,0.6,0.8,3.5,1.6,2.9,9.1,4.07,,0.468,0.434,0.002,0.486,,,,,,,,14.3,,0.5,8.3,8.7,0.181,,,
Michael Olowokandi,Pacific,1998,1,77,,15.7,5.8,9.7,0.592,5.8,9.7,0.592,0,0,0,2,4.3,0.466,,,7.5,0.5,0.2,2.1,1.4,1.2,13.5,-1.18,,0.575,0.592,0,0.437,,,,,,,,17.6,,5.9,6.9,12.8,0.268,,,
Mike Bibby,Arizona,1998,2,69,69,32.3,5.2,11.4,0.456,3.1,6.1,0.514,2.1,5.3,0.39,2.9,3.9,0.73,,,3.1,5.5,2.3,0.2,2.6,1.9,15.4,9.68,,0.578,0.548,0.468,0.342,,,,,,,,16.3,,5.7,4.4,10.1,0.181,,,
Raef LaFrentz,Kansas,1998,3,131,131,27.5,6.3,11.3,0.555,6.2,11.1,0.56,0.1,0.3,0.371,3.1,4.3,0.712,,,9.1,0.7,0.7,1.1,2,2.5,15.8,7.94,,0.589,0.56,0.024,0.381,,,,,,,,12.8,,10.2,10.3,20.4,0.227,,,
Antawn Jamison,UNC,1998,4,104,29,33.6,7.6,13.1,0.577,7.5,12.9,0.583,0.1,0.3,0.296,3.8,6.1,0.617,,,9.9,0.9,0.9,0.8,1.8,1.6,19,11.3,,0.593,0.58,0.02,0.466,,,,,,,,11,,11.8,7.5,19.3,0.195,,,
Vince Carter,UNC,1998,5,103,19,23,4.7,8.5,0.547,3.7,5.9,0.625,1,2.6,0.368,2,2.8,0.705,,,4.5,1.9,1.1,0.8,1.3,1.3,12.3,11.3,,0.622,0.603,0.306,0.332,,,,,,,,12.7,,9,5.8,14.8,0.199,,,
Robert Traylor,Michigan,1998,6,91,,24.4,5.5,9.6,0.566,5.5,9.6,0.566,0,0,0,2.4,4.4,0.545,,,8.2,1.5,1.1,1.1,2.7,2,13.3,9.57,,0.567,0.566,0.001,0.456,,,,,,,,20.1,,6.4,6.9,13.3,0.207,,,
Jason Williams,Florida,1998,7,48,,29.1,5.3,11,0.483,3.5,6.3,0.549,1.9,4.7,0.394,2.4,3,0.793,,,3.3,6.5,2.1,0.3,2.7,1,14.9,1.3,,0.598,0.567,0.426,0.274,,,,,,,,19.5,,4.3,1.3,5.6,0.137,,,
Larry Hughes,Saint Louis,1998,8,32,,,7,16.9,0.415,5.7,12.3,0.461,1.3,4.5,0.29,5.6,8.1,0.692,,,5.1,2.4,2.2,0.4,0,0,20.9,5.51,,0.505,0.454,0.269,0.481,,,,,,,,,,1.8,2.5,4.3,,,,
Paul Pierce,Kansas,1998,9,108,103,28.1,6,12.4,0.481,5,9.6,0.518,1,2.8,0.355,3.4,4.9,0.697,,,6.3,2.2,1.4,0.9,2.8,2.5,16.4,7.24,,0.555,0.521,0.227,0.396,,,,,,,,15.8,,8,9.6,17.6,0.233,,,
Bonzi Wells,Ball State,1998,10,116,86,31,7.9,16.4,0.48,6.6,12.6,0.526,1.2,3.8,0.325,4.5,6.5,0.681,,,7.3,3.3,3,0.8,3.6,2.1,21.4,1.63,,0.549,0.517,0.23,0.399,,,,,,,,15.5,,9.3,8.6,17.9,0.161,,,
Michael Doleac,Utah,1998,11,133,,22.2,3.9,7.8,0.491,3.7,7.5,0.496,0.2,0.4,0.404,3.5,4.5,0.784,,,6.7,0.6,0.5,0.9,1.5,1.8,11.4,5.42,,0.571,0.501,0.05,0.577,,,,,,,,14.2,,7.9,7.5,15.4,0.168,,,
Keon Clark,UNLV,1998,12,39,,28.1,5.8,10.4,0.554,5.5,9.7,0.567,0.3,0.7,0.37,3,4.7,0.638,,,8.2,1.3,0.6,3.5,2.6,2.4,14.8,4.38,,0.585,0.567,0.067,0.456,,,,,,,,16.7,,3.5,4.8,8.3,0.31,,,
Michael Dickerson,Arizona,1998,13,130,80,24.1,5.1,11.2,0.458,4,8,0.494,1.2,3.2,0.367,2.3,3.2,0.728,,,3.7,1.5,0.8,0.2,1.9,1.9,13.8,9.54,,0.54,0.51,0.286,0.284,,,,,,,,13,,5.7,4.1,9.8,0.126,,,
Matt Harpring,Georgia Tech,1998,14,124,60,36,6.1,13.1,0.465,4.4,8.4,0.523,1.7,4.7,0.361,4.1,5.4,0.753,,,8,2.3,1.4,0.2,2.7,1.8,17.9,10.66,,0.573,0.53,0.361,0.416,,,,,,,,15.6,,10,4.6,14.6,0.111,,,
Elton Brand,Duke,1999,1,60,,29.3,5.9,9.7,0.612,5.9,9.7,0.612,0,0,0,4.4,6.5,0.672,,,8.9,0.9,1.4,1.9,1.7,1.6,16.2,9.73,,0.635,0.612,0,0.672,,,,,,,,11.2,,6.8,7.7,14.5,0.35,,,
Steve Francis,Maryland,1999,2,34,,30.7,6,11.5,0.523,4.7,8.1,0.58,1.3,3.4,0.388,3.6,4.6,0.79,,,4.5,4.5,2.8,0.2,3,2.8,17,9.1,,0.62,0.58,0.296,0.401,,,,,,,,17.9,,4.1,2.5,6.5,0.251,,,
Baron Davis,UCLA,1999,3,59,,30.7,4.9,9.7,0.503,3.9,6.6,0.583,1,3.1,0.328,2.9,4.5,0.631,,,3.8,5.1,2.5,0.4,3.3,1.6,13.6,9.93,,0.574,0.554,0.315,0.469,,,,,,,,18.7,,4.3,3,7.3,0.202,,,
Lamar Odom,Rhode Island,1999,4,32,,34.9,6.3,13.2,0.482,5.3,10,0.53,1,3.1,0.33,3.9,5.7,0.687,,,9.4,3.8,0.8,1.5,3.4,2.9,17.6,5.58,,0.556,0.521,0.238,0.432,,,,,,,,17.8,,2.9,2.9,5.8,0.206,,,
Wally Szczerbiak,Miami (OH),1999,5,105,,28.5,6.4,12.5,0.512,4.4,8,0.558,1.9,4.5,0.431,2.9,3.5,0.809,,,6.3,2.2,0.8,0.8,2.2,2.1,17.6,1.97,,0.621,0.59,0.361,0.284,,,,,,,,14.3,,14.5,8.2,22.7,0.278,,,
Richard Hamilton,UConn,1999,6,103,,31.4,6.7,15.7,0.426,4.4,9.7,0.456,2.3,6.1,0.378,4,4.9,0.826,,,4.5,2.6,1.3,0.3,2.7,1.3,19.8,8.27,,0.547,0.499,0.387,0.311,,,,,,,,13.2,,9.5,7.2,16.8,0.196,,,
Andre Miller,Utah,1999,7,134,,29.4,4.4,8.6,0.513,4,7.1,0.558,0.4,1.5,0.294,2.9,4.2,0.676,,,4.8,5.4,1.9,0.5,2.8,1.4,12.1,5.01,,0.571,0.538,0.172,0.496,,,,,,,,21.4,,10.3,12.5,22.8,0.21,,,
Shawn Marion,UNLV,1999,8,29,,32.9,7.6,14.4,0.529,6.9,12.1,0.573,0.7,2.3,0.299,2.8,3.8,0.73,,,9.3,1.2,2.5,1.9,1.4,2.1,18.7,4.52,,0.577,0.553,0.16,0.266,,,,,,,,8,,3,3,6,0.253,,,
Jason Terry,Arizona,1999,9,129,18,25.1,3.8,8.6,0.443,2.3,4.6,0.503,1.5,4,0.374,2.3,2.9,0.784,,,2.3,3.8,1.9,0.1,2.4,1.4,11.3,9.02,,0.57,0.529,0.465,0.336,,,,,,,,19.2,,7.5,5.7,13.2,0.163,,,
Trajan Langdon,Duke,1999,10,136,24,28.9,4.6,10.1,0.451,2.1,4.3,0.486,2.5,5.9,0.426,2.8,3.3,0.862,,,2.9,1.9,0.9,0.2,1.5,1.5,14.5,10.15,,0.62,0.575,0.581,0.325,,,,4.8,11,,0.4,11.6,20.6,11.5,5.1,16.6,0.16,,,
Corey Maggette,Duke,1999,11,39,,17.7,3.5,6.7,0.525,2.8,4.5,0.61,0.7,2.2,0.345,2.8,4,0.716,,,3.9,1.5,0.7,0.4,2.1,2.5,10.6,10.13,,0.619,0.58,0.322,0.594,,,,,,,,19.3,,2.7,1.8,4.5,0.263,,,
William Avery,Duke,1999,12,74,,31,4.1,8.7,0.47,2.6,4.8,0.554,1.5,4,0.369,2.2,2.8,0.784,,,2.8,3.8,1.2,0,2.6,1.2,11.9,9.73,,0.59,0.553,0.454,0.322,,,,,,,,18,,5.1,3.9,9.1,0.209,,,
Metta World Peace,St. John's (NY),1999,13,69,,34.2,4.9,10.9,0.445,3.5,7.2,0.492,1.3,3.8,0.355,2.1,3.6,0.589,,,6.3,3.2,1.9,1.2,2.8,1.2,13.1,7.93,,0.521,0.506,0.344,0.327,,,,,,,,17.9,,3.1,8,11.1,0.246,,,
Cal Bowdler,Old Dominion,1999,14,118,,20.6,3.1,6.8,0.451,2.7,5.6,0.492,0.3,1.2,0.264,2.2,3.5,0.625,,,6.6,0.7,0.4,1.9,1.5,1.1,8.6,-0.76,,0.51,0.474,0.179,0.508,,,,,,,,16.3,,2.9,6.3,9.2,0.158,,,
Kenyon Martin,Cincinnati,2000,1,116,,23.7,4.4,7.5,0.586,4.4,7.5,0.59,0,0.1,0.222,2.2,3.7,0.581,,,7.5,1.2,1.1,2.5,1.6,2,11,6.65,,0.592,0.587,0.01,0.494,,,,,,,,14.3,,8.2,16.4,24.7,0.346,,,
Stromile Swift,LSU,2000,2,50,,26.6,5.1,9,0.56,4.9,8.4,0.585,0.2,0.7,0.242,3.1,5.1,0.613,,,7,0.7,1.3,2.6,2.5,2.6,13.4,5.84,,0.585,0.569,0.073,0.566,,,,,,,,18,,4.1,5.1,9.2,0.275,,,
Marcus Fizer,Iowa State,2000,3,97,91,32.9,7.1,13.9,0.511,6.9,13.2,0.524,0.2,0.7,0.292,4.4,6.3,0.702,,,7.4,1,0.9,0.9,2.3,1.9,18.9,6.27,,0.558,0.519,0.053,0.453,,,,,,,,12.1,,9.2,7.1,16.4,0.256,,,
Mike Miller,Florida,2000,4,65,,26.7,4.5,9.2,0.483,3.3,5.8,0.565,1.2,3.5,0.345,3.1,4.4,0.718,,,6,2.3,1.2,0.3,2.2,1.9,13.3,7.07,,0.586,0.547,0.376,0.473,,,,,,,,16,,5,3.4,8.4,0.194,,,
DerMarr Johnson,Cincinnati,2000,5,32,,27.5,4.4,9.2,0.478,2.8,4.8,0.575,1.6,4.4,0.371,2.2,3,0.737,,,3.8,1.4,1,0.9,1.4,2,12.6,8.5,,0.594,0.567,0.478,0.324,,,,,,,,12,,2.6,2.2,4.8,0.218,,,
Chris Mihm,Texas,2000,6,96,,31.4,5.2,10.4,0.497,5.1,10.1,0.503,0.1,0.3,0.3,4.2,6.1,0.684,,,9.8,0.6,0.4,2.8,2.4,1.9,14.6,7.62,,0.548,0.501,0.03,0.581,,,,,,,,14.6,,6.3,9.3,15.6,0.251,,,
Jamal Crawford,Michigan,2000,7,17,,33.9,6.2,15,0.412,4.2,9.1,0.468,1.9,5.9,0.327,2.4,3,0.784,,,2.8,4.5,1.1,0.9,3.1,1.1,16.6,9.27,,0.507,0.476,0.396,0.2,,,,,,,,16,,0.7,0.2,0.9,0.065,,,
Joel Przybilla,Minnesota,2000,8,49,,27.6,4.1,6.9,0.591,4.1,6.9,0.591,0,0,0,1.7,3.3,0.521,,,6.9,1.9,0.7,3.4,2.9,3.1,9.9,9.77,,0.583,0.591,0,0.479,,,,,,,,25.2,,3,3.4,6.4,0.19,,,
Keyon Dooling,Missouri,2000,9,59,,28.1,3.8,9.2,0.411,2.6,5.8,0.452,1.1,3.4,0.338,3.4,4.7,0.733,,,2.4,3.4,1.3,0.5,2.3,1.7,12.1,6.05,,0.531,0.472,0.365,0.51,,,,,,,,16.6,,2.9,3.1,6,0.146,,,
Jerome Moiso,UCLA,2000,10,62,,26.8,4.9,9.8,0.495,4.8,9.5,0.505,0.1,0.4,0.227,2.2,3.5,0.614,,,6.8,1.1,1,1.3,2.3,2.8,12,9.47,,0.521,0.499,0.036,0.362,,,,,,,,16.5,,2.4,4.5,6.8,0.164,,,
Etan Thomas,Syracuse,2000,11,122,,26,4.1,6.8,0.6,4.1,6.8,0.6,0,0,0,2.9,4.8,0.598,,,6.9,0.4,0.7,3.5,1.7,2,11,7.2,,0.608,0.6,0,0.709,,,,,,,,15.9,,9.3,14.2,23.5,0.301,,,
Courtney Alexander,Fresno State,2000,12,112,,30.9,7.2,15.8,0.456,5.7,11.7,0.488,1.5,4.1,0.362,3,3.9,0.767,,,3.9,2.2,1.1,0.2,2,1.8,18.9,7.56,,0.535,0.503,0.259,0.248,,,,,,,,10,,7.9,3.6,11.6,0.134,,,
Mateen Cleaves,Michigan State,2000,13,123,,29.6,4.4,10.8,0.406,3.2,7.1,0.454,1.2,3.7,0.313,2.6,3.5,0.738,,,2.1,6.6,1.6,0.1,3.8,1.6,12.5,9.5,,0.502,0.459,0.343,0.324,,,,,,,,25,,4.7,8.2,12.9,0.128,,,
Jason Collier,Georgia Tech,2000,14,97,,29.6,4.9,10.8,0.458,4.2,8.8,0.478,0.7,1.9,0.369,3.3,4.6,0.711,,,7.1,1.2,0.6,1.1,2.9,2.5,13.9,9.13,,0.535,0.491,0.179,0.428,,,,,,,,17.9,,5.3,4.2,9.5,0.134,,,
Jason Richardson,Michigan State,2001,1,70,32,21.7,3.7,7.4,0.503,2.9,5.3,0.551,0.8,2.1,0.383,1.4,2.1,0.649,1.8,4.1,5,1.4,0.8,0.5,1.1,1.9,9.6,9.73,,0.573,0.558,0.287,0.285,,,,,,,,12,,3.7,5,8.7,0.229,,,
Shane Battier,Duke,2001,2,146,39,31.4,4.5,8.9,0.5,2.8,4.9,0.57,1.7,4.1,0.416,3,3.8,0.777,2.4,4.9,6.1,1.6,1.8,1.7,1.2,1.6,13.6,10.08,,0.632,0.594,0.454,0.431,,,,,,,,9.2,,13.5,16.3,29.8,0.272,,,
Eddie Griffin,Seton Hall,2001,3,30,30,32.6,6.9,16,0.429,5.5,11.7,0.469,1.4,4.3,0.32,2.7,3.6,0.734,3.1,7.6,10.8,1.6,0.9,4.4,2.2,2.4,17.8,6.03,,0.501,0.472,0.267,0.227,,,,,,,,11.2,,1,3.6,4.6,0.189,,,
Rodney White,Charlotte,2001,4,28,26,30.9,6.7,13.8,0.487,5.5,10.4,0.533,1.2,3.4,0.347,4.1,5.7,0.713,1.8,4.7,6.5,1.5,1.2,0.7,2.9,2.6,18.7,7.91,,0.566,0.53,0.246,0.415,,,,,,,,15.1,,2.5,1.9,4.4,0.202,,,
Joe Johnson,Arkansas,2001,5,53,41,30.3,5.7,12.2,0.466,4.5,9.3,0.485,1.2,2.9,0.406,2.4,3.2,0.753,2.2,4.2,6.1,2.4,1.7,0.5,2.5,1.7,15,6.96,,0.545,0.515,0.239,0.262,,,,,,,,15.3,,3.3,4,7.3,0.182,,,
Richard Jefferson,Arizona,2001,6,84,34,26.3,4,8.1,0.49,3.3,6.2,0.528,0.7,1.9,0.368,2.5,3.5,0.718,1.7,3.8,5,2.8,0.6,0.8,2.7,2.6,11.2,10.19,,0.572,0.534,0.238,0.436,,,,,,,,21.6,,5,4.8,9.8,0.177,,,
Troy Murphy,Notre Dame,2001,7,94,29,35.1,7.2,14.6,0.496,6.6,12.5,0.522,0.7,2,0.335,6.2,8,0.777,3.1,6.1,9.8,1.7,1.2,1.3,3,2.9,21.4,6.35,,0.582,0.52,0.139,0.551,,,,,,,,14.1,,11.5,4.5,15.9,0.193,,,
Steven Hunter,DePaul,2001,8,63,27,24.6,4,6.8,0.586,4,6.8,0.589,0,0,0,1.9,3.2,0.6,2.2,3.4,4.7,0.4,0.2,2,1.6,2.2,9.9,7.92,,0.594,0.586,0.005,0.465,,,,,,,,16.1,,3.8,4,7.9,0.203,,,
Kirk Haston,Indiana,2001,9,96,28,26.8,5.7,12,0.473,5.4,11.2,0.48,0.3,0.7,0.366,3,4.2,0.717,2.4,6.3,7.8,1.2,0.8,1.1,2,2.7,14.6,10.88,,0.523,0.484,0.062,0.354,,,,,,,,12.7,,4.5,7,11.5,0.178,,,
Michael Bradley,Villanova,2001,10,100,31,27.4,4.4,6.5,0.677,4.3,6.2,0.695,0.1,0.3,0.353,1.9,3.6,0.541,3.5,6.3,5.4,1.3,0.6,1,2.2,1.6,10.9,8.74,,0.662,0.687,0.052,0.548,,,,,,,,16.7,,8.8,4,12.8,0.248,,,
Jason Collins,Stanford,2001,11,73,34,22.1,3.6,5.9,0.612,3.4,5.5,0.623,0.2,0.4,0.444,3.4,4.8,0.716,2.7,5.1,6.6,0.8,0.5,1.2,1.5,2.2,10.8,8.87,,0.662,0.626,0.063,0.813,,,,,,,,15.6,,6.4,6.2,12.6,0.316,,,
Zach Randolph,Michigan State,2001,12,33,8,19.8,4.2,7.1,0.587,4.2,7.1,0.59,0,0,0,2.4,3.8,0.635,3.1,3.6,6.7,1,0.7,0.7,1.6,1.8,10.8,9.54,,0.604,0.587,0.004,0.536,,,,,,,,15.2,,2.3,2.8,5.1,0.315,,,
Brendan Haywood,UNC,2001,13,141,33,29.2,3.8,6,0.637,3.8,6,0.637,0,0,0,2.3,4,0.591,3.2,4.2,6,0.8,0.3,2.2,1.9,2.1,10,11.05,,0.634,0.637,0,0.656,,,,,,,,16.4,,10.6,8.8,19.3,0.231,,,
Joseph Forte,UNC,2001,14,69,32,33.9,6.9,15.3,0.454,5.3,10.9,0.489,1.6,4.4,0.368,3.2,4,0.81,1.2,4.8,5.8,3,1.8,0.4,2.4,2,18.7,11.79,,0.544,0.507,0.286,0.259,,,,,,,,12.5,,5.3,3.5,8.8,0.15,,,
Jay Williams,Duke,2002,1,108,74,33.1,6.6,14.6,0.453,3.7,7.2,0.514,2.9,7.4,0.393,3.1,4.7,0.671,0.8,2.6,3.7,6,2.2,0.1,3.9,2.3,19.3,10,,0.572,0.552,0.506,0.322,,,,,,,,18.9,,10.3,7.2,17.6,0.197,,,
Mike Dunleavy,Duke,2002,2,104,74,28.8,4.8,10.1,0.475,3.1,5.5,0.564,1.7,4.6,0.371,1.9,2.7,0.698,1.5,4.9,5.8,2.2,1.6,0.5,1.9,2,13.2,10,,0.58,0.56,0.46,0.265,,,,,,,,14.6,,7,7.9,14.8,0.198,,,
Drew Gooden,Kansas,2002,3,98,64,26.2,6.1,12.3,0.493,5.9,11.7,0.503,0.2,0.6,0.306,3.3,4.7,0.698,3,7.1,9.2,1.6,1.1,1.1,2.6,2.5,15.6,9.39,,0.537,0.501,0.051,0.379,,,,18.1,9.4,1.8,3.5,15,27.1,5.2,7.9,13.1,0.204,,,
Dajuan Wagner,Memphis,2002,4,36,35,31.8,7.4,18,0.41,5.5,12.2,0.453,1.8,5.8,0.317,4.6,6.4,0.722,0.5,2,2.5,3.6,1.2,0.6,2.9,2.8,21.2,4.72,,0.504,0.461,0.321,0.355,,,,,,,,12.2,,1.7,2.4,4.1,0.143,,,
Chris Wilcox,Maryland,2002,5,70,27,16.6,3.2,6.2,0.52,3.2,6.1,0.522,0,0,0,1.5,2.6,0.589,1.8,3,4.7,1,0.5,1,1,2,7.9,10.19,,0.536,0.52,0.005,0.418,,,,15.1,11.1,,3.8,12.2,24.3,1.9,3.6,5.5,0.19,,,
Caron Butler,UConn,2002,6,63,62,34.5,6.4,13.8,0.465,5.7,11.9,0.482,0.7,1.9,0.364,4.5,5.9,0.768,3.3,4.3,7.6,3,2.1,0.3,2.7,2.4,18,6.43,,0.544,0.491,0.139,0.426,,,,,,,,13.9,,4.6,4.7,9.4,0.172,,,
