Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Mark Macon,Temple,1991,8,126,64,37.5,7.8,18.4,0.423,5.8,13.2,0.442,2,5.2,0.374,3.2,4.1,0.779,,,5.6,2.8,2.2,0.1,1.8,2.3,20.7,3.84,,0.509,0.476,0.283,0.223,,,,,,,,8.1,,,,,,,,
Stacey Augmon,UNLV,1991,9,145,36,29.5,5.2,9.4,0.555,4.6,7.8,0.583,0.7,1.6,0.42,2.8,4.1,0.677,,,6.9,3,1.9,0.9,2.2,2.6,13.9,6.52,,0.611,0.591,0.169,0.433,,,,,,,,15.9,,,,,,,,
Terrell Brandon,Oregon,1991,10,57,28,38.2,8.1,16.8,0.484,6.7,13.1,0.513,1.4,3.7,0.38,4.5,5.5,0.81,,,3.6,5.5,2,0.1,3.6,2.1,22.2,9.29,,0.57,0.526,0.223,0.33,,,,,,,,15.5,,,,,,,,
Greg Anthony,UNLV,1991,11,138,61,30.5,4.3,9.7,0.437,3,6.5,0.467,1.2,3.3,0.379,2.8,4,0.707,,,3.1,6.9,2.4,0.3,2.7,2.5,12.6,5.54,,0.541,,0.338,0.407,,,,,,,,18.6,,,,,,,,
Dale Davis,Clemson,1991,12,121,97,28.9,5.2,8.9,0.588,5.2,8.9,0.59,0,0,0,3.2,5.4,0.59,,,10,0.7,0.9,1.7,1.6,2.9,13.6,7.46,,0.596,0.588,0.003,0.605,,,,,,,,12,,,,,,,,
Rich King,Nebraska,1991,13,124,75,23.6,4.5,8.1,0.564,4.5,8,0.565,0,0,0.4,2.8,4.1,0.676,,,6.1,1.8,0.5,1.5,2.2,2.9,11.9,7.95,,0.594,0.565,0.005,0.51,,,,13.5,13.5,,4.4,18,24.4,,,,,,,
Anthony Avent,Seton Hall,1991,14,100,63,23.5,4.2,7.9,0.527,4.2,7.9,0.527,0,0,0,2.4,3.4,0.701,,,7.1,1.1,0.5,1.2,2.1,2.8,10.7,9.84,,0.562,0.527,0,0.429,,,,,,,,17.8,,,,,,,,
Shaquille O'Neal,LSU,1992,1,90,,30.5,8.7,14.3,0.61,8.7,14.3,0.61,0,0,0,4.1,7.1,0.575,,,13.5,1.7,1.2,4.6,3.3,3.2,21.6,8.4,,0.609,0.61,0,0.498,,,,,,,,15.6,,,,,,,,
Alonzo Mourning,Georgetown,1992,2,120,65,30.3,5.1,9,0.566,5.1,8.8,0.572,0.1,0.2,0.261,6.4,8.5,0.754,,,8.6,1.2,0.5,3.8,2.5,3.4,16.7,9.99,,0.638,0.568,0.021,0.945,,,,,,,,15.9,,,,,,,,
Christian Laettner,Duke,1992,3,148,128,27.4,5.6,9.8,0.574,5.1,8.7,0.586,0.5,1.1,0.485,4.8,6,0.806,,,7.8,1.8,1.6,1,2.7,2.9,16.6,9.45,,0.657,0.602,0.112,0.61,,,,16.2,11.9,,2.8,17.5,24.2,,,,,,,
Jim Jackson,Ohio State,1992,4,93,93,34,7.4,14.7,0.503,6.5,12.3,0.527,0.9,2.3,0.376,3.6,4.5,0.784,,,5.9,4,1.6,0.5,3.3,2.4,19.2,9.19,,0.57,0.533,0.16,0.309,,,,,,,,16.3,,,,,,,,
LaPhonso Ellis,Notre Dame,1992,5,97,25,33.2,6.1,10.5,0.577,5.9,10.1,0.581,0.2,0.3,0.455,3.3,4.8,0.675,,,11.1,1.5,0.9,2.1,2.5,3.3,15.5,8.55,,0.607,0.585,0.032,0.46,,,,,,,,16.6,,,,,,,,
Tom Gugliotta,NC State,1992,6,112,90,29.3,5,10.6,0.476,3.4,6.6,0.516,1.6,4,0.408,2,3,0.668,,,7.3,2.1,1.5,0.6,2.1,2.2,13.7,9.16,,0.571,0.553,0.378,0.287,,,,13.8,11.9,,2.3,15.1,18.1,,,,,,,
Walt Williams,Maryland,1992,7,105,86,30.4,5.6,11.9,0.466,4.1,7.8,0.522,1.5,4.1,0.359,3.7,4.8,0.762,,,4.6,3.9,1.7,0.8,3.6,3.2,16.2,7.86,,0.572,0.528,0.343,0.403,,,,,,,,20.2,,,,,,,,
Todd Day,Arkansas,1992,8,127,106,28.2,6.6,13.7,0.479,4.8,9.1,0.527,1.8,4.6,0.384,3.9,5.3,0.747,,,5.3,2.5,2.1,0.8,2.5,2.6,18.9,5.89,,0.581,0.544,0.337,0.383,,,,,,,,13.3,,,,,,,,
Clarence Weatherspoon,Southern Miss,1992,9,117,58,35.5,6.8,11.8,0.576,6.5,11.2,0.583,0.3,0.6,0.444,4.3,6.3,0.677,,,11.3,1.5,1.3,1.9,2.5,2.6,18.2,4.43,,0.613,0.587,0.052,0.535,,,,,,,,14.2,,,,,,,,
Adam Keefe,Stanford,1992,10,125,29,32,6.6,11.1,0.6,6.6,11,0.601,0.1,0.1,0.467,5.2,7.1,0.736,,,9,1.7,1.1,0.4,2.5,2.1,18.6,8.24,,0.642,0.602,0.011,0.64,,,,,,,,14.6,,,,,,,,
Robert Horry,Alabama,1992,11,134,108,28,4.3,9.3,0.458,3.3,6.7,0.492,1,2.6,0.371,2.4,3.2,0.742,,,6.9,1.8,1.3,2.1,2.2,2.7,11.9,6.32,,0.548,0.51,0.279,0.344,,,,12.1,13.1,,4.9,16.6,23.2,,,,,,,
